start_s,end_s,dur,nb_ratio_med,nb_ratio_p75,tonality_med,rms_med,flux_med,td_slope_med,td_slope_min,td_energy_med
416.21000000000004,416.86,0.6499999999999773,0.21437491476535797,0.46439823508262634,1.1500095129013062,0.0006750469328835607,0.11812486499547958,-143.011474609375,-2291.569580078125,6.152372804794104e-07
416.86,417.15000000000003,0.29000000000002046,0.18898902833461761,0.7809523344039917,1.1272165775299072,0.0007010059780441225,0.09101497381925583,170.770263671875,-2446.502685546875,4.98026004761359e-07
419.55,420.25,0.6999999999999886,0.28540757298469543,0.418224573135376,1.0604639053344727,0.0012325496645644307,0.15927881002426147,49.890899658203125,-1800.7034912109375,1.3632462236290573e-06
426.3,426.90000000000003,0.6000000000000227,0.32624030113220215,0.7984519600868225,1.0722944736480713,0.0007386038196273148,0.11802095919847488,95.263671875,-2814.44873046875,7.519562126006935e-07
426.90000000000003,427.25,0.3499999999999659,0.1997692584991455,0.3158751130104065,1.1737157106399536,0.0005355972680263221,0.07765273749828339,-35.89019775390625,-2771.734619140625,5.6719769134065e-07
431.45,432.1,0.6500000000000341,1.4155317544937134,2.9515278339385986,1.0345762968063354,0.0013711833162233233,0.1293548047542572,118.26019287109375,-2878.692626953125,6.454937843513006e-07
435.75,436.5,0.75,0.6354623436927795,1.0090447664260864,1.0677469968795776,0.000773161998949945,0.10298002511262894,-80.40618896484375,-1680.96923828125,5.814837291289003e-07
436.5,436.8,0.30000000000001137,2.2586066722869873,2.573765277862549,1.0334932804107666,0.0015288280555978417,0.11261094361543655,-74.85580444335938,-1709.02099609375,4.143049589819119e-07
439.25,440.8,1.5500000000000114,0.7437140941619873,1.7995648384094238,1.0377399921417236,0.0008596803527325392,0.10395415872335434,66.815185546875,-2896.43115234375,6.406905267612223e-07
445.25,446.05,0.8000000000000114,0.0964794009923935,0.17991557717323303,1.0892338752746582,0.0011459910310804844,0.16360443830490112,69.2657470703125,-1924.64453125,1.8736361907850728e-06
452.40000000000003,453.8,1.3999999999999773,0.19776444137096405,0.38004082441329956,1.1028990745544434,0.0005911181215196848,0.08838040381669998,-32.37762451171875,-2368.302978515625,5.394133508213543e-07
453.8,454.3,0.5,0.2887433171272278,0.4680764377117157,1.0860018730163574,0.0006027815397828817,0.09559325873851776,-63.632965087890625,-2103.910888671875,5.976716956857883e-07
455.45,456.25,0.8000000000000114,0.46186161041259766,1.6545913219451904,1.0506207942962646,0.0007749847136437893,0.10913527011871338,-2.405548095703125,-2420.852783203125,6.79904796047086e-07
458.25,458.85,0.6000000000000227,0.29366952180862427,1.5903716087341309,1.0829395055770874,0.0009727361612021923,0.13838925957679749,28.936004638671875,-2025.1175537109375,9.657413632076577e-07
458.85,459.65000000000003,0.8000000000000114,0.0721118301153183,0.1312112659215927,1.2122160196304321,0.0005440941313281655,0.08659760653972626,70.21102905273438,-2107.26171875,6.342147921296316e-07
459.65000000000003,460.90000000000003,1.25,0.1947733759880066,0.3863849937915802,1.0906925201416016,0.0006723395781591535,0.10695343464612961,14.019775390625,-2004.925537109375,6.9755799045148e-07
460.90000000000003,461.6,0.6999999999999886,0.30713194608688354,0.7310457229614258,1.1171059608459473,0.0006959802703931928,0.10615018010139465,10.54840087890625,-2122.050537109375,5.758711970021442e-07
462.8,463.3,0.5,0.15959586203098297,0.3843168020248413,1.150753378868103,0.0006725137354806066,0.1117907389998436,100.42343139648438,-1804.13671875,7.545351517533411e-07
467.35,468.1,0.75,0.46549490094184875,1.043118953704834,1.0605010986328125,0.0008513284847140312,0.10995741188526154,-113.5955810546875,-1802.490234375,6.093600863842051e-07
472.5,473.15000000000003,0.6500000000000341,0.7002873420715332,0.8819854259490967,1.0466792583465576,0.0008447471191175282,0.09275607019662857,-2.294921875,-2723.53369140625,7.141279170821196e-07
476.25,476.90000000000003,0.6500000000000341,0.622574508190155,1.11886727809906,1.0694321393966675,0.0015773280756548047,0.1528787910938263,138.14544677734375,-2766.748046875,5.152107427969203e-07
478.0,478.75,0.75,0.45327436923980713,1.2232732772827148,1.0406101942062378,0.0008105415618047118,0.12542477250099182,11.0076904296875,-1899.05859375,6.326504221166354e-07
482.2,482.90000000000003,0.7000000000000455,0.38818293809890747,0.8059545755386353,1.110440969467163,0.000777270644903183,0.09675158560276031,17.827606201171875,-1969.793701171875,6.511726139910827e-07
492.65000000000003,493.3,0.6499999999999773,0.3570255637168884,0.5787346363067627,1.0809744596481323,0.0009702665847726166,0.12850771844387054,-78.34930419921875,-1993.3349609375,5.70945966158872e-07
494.85,495.7,0.8499999999999659,1.1301573514938354,1.9626537561416626,1.0371850728988647,0.0014000749215483665,0.12219643592834473,-100.45623779296875,-1521.1578369140625,6.909770254691454e-07
495.7,496.0,0.30000000000001137,0.22168684005737305,0.40975114703178406,1.1162244081497192,0.0006472688401117921,0.09522469341754913,-27.66876220703125,-1308.2291259765625,3.342133416236221e-07
